titles,CT,Collectivité territorial,المواضيع
تعزيز الشفافية الولوج إلى المعلومة,جهة طنجة تطوان الحسيمة,Region Tanger-Tetouan-Al Hoceima,الولوج إلى المعلومة
إطلاق منصة إلكترونية لتتبع وتقييم برنامج التنمية الجهوية,جهة طنجة تطوان الحسيمة,Region Tanger-Tetouan-Al Hoceima,تتبع وتقييم برامج التنمية
تنفيذ استراتيجية جهوية للإدماج والنوع الاجتماعي,جهة طنجة تطوان الحسيمة,Region Tanger-Tetouan-Al Hoceima,"النوع 
الإعاقة"
الميزانية المستجيبة للنوع وميزانية المواطن,جهة طنجة تطوان الحسيمة,Region Tanger-Tetouan-Al Hoceima,الميزانية
النشر الاستباقي للمعلومات,جهة طنجة تطوان الحسيمة,Region Tanger-Tetouan-Al Hoceima,الولوج إلى المعلومة
‏تشكيل ودعم قدرات الهيئات الاستشارية,جماعة تطوان,Commune Tetouan,الهيئات الإستشارية
اعداد ونشر ميزانية المواطن,جماعة تطوان,Commune Tetouan,الميزانية
إعداد ميزانية تشاركية,جماعة تطوان,Commune Tetouan,الميزانية
إعداد دليل للدعم و الشراكة مع هيئات المجتمع المدني,جماعة تطوان,Commune Tetouan,المشاركة المواطنة
النشر الاستباقي للمعلومات الأولية و الولوج للمعلومة,جماعة تطوان,Commune Tetouan,الولوج إلى المعلومة
إعداد برامج عمل موضوعاتية من طرف الهيئات الاستشارية,جماعة تطوان,Commune Tetouan,الهيئات الإستشارية
الدمج الإجتماعي بالتنشيط الثقافي والرياضي والفني,جماعة تطوان,Commune Tetouan,"الثقافة 
الرياضة"
التتبع العمومي لبرنامج عمل الجماعة 2023_2028,جماعة تطوان,Commune Tetouan,تتبع وتقييم برامج التنمية
الرقمنة من أجل خدمات جماعية ذات جودة وفعالية,جماعة تطوان,Commune Tetouan,الرقمنة
التواصل الدامج,جماعة تطوان,Commune Tetouan,التواصل
الولوج الشامل للتراث,جماعة تطوان,Commune Tetouan,الجاذبية الترابية
إحداث مرصد جماعي للبيئة والمناخ والتنمية المستدامة,جماعة تطوان,Commune Tetouan,البيئة
تيسيرالواوج إلى المعلومة,جماعة طنجة,Commune Tanger,الولوج إلى المعلومة
وضع خطة تواصلية لتكريس وتعزيز الشفافية.,جماعة طنجة,Commune Tanger,التواصل
الخدمات الرقمية,جماعة طنجة,Commune Tanger,الرقمنة
دورات تكوينية حول ورش الشفافية ومبادئ الحكامة الجيدة,جماعة طنجة,Commune Tanger,المشاركة المواطنة
تعزيز آليات تقديم العرائض.,جماعة طنجة,Commune Tanger,العرائض
إحداث المجلس الجماعي للطفل,جماعة طنجة,Commune Tanger,الطفل
إحداث مكتب المواطن,جماعة طنجة,Commune Tanger,المشاركة المواطنة
