Idea Number,Channel,Theme,What are the challenges/issues raised?,What is the proposed solution?
748,اللقاء,"الإنارة العمومية
تأهيل المدينة",تعرض أعمدة الإنارة لعمليات الإتلاف و التخريب,تفعيل لجنة المراقبة الخاصة بالإنارة - وضع كاميرات للمراقبة على مستوى هذه الإعمدة .
741,اللقاء,النظافة و المحافظة على البيئة و حفظ الصحة,سوء وضعية السواقي وعدم تهيئتها ورد الإعتبار لها,تثمين ماهو مشترك ورد الإعتبار لسواقي المدينة، من خلال عقد اتفاقية شراكة مع وكالة الحوض المائي لأم الربيع من أجل تهيئة السواقي
738,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,نقص الخدمات الاجتماعية,تقاسم التجارب الفضلى لتعزيز الخدمات الاجتماعية
735,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,نقص المراحيض العموميةا,احداث مراحيض عمومية
736,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,نقص المقابر,احداث مقابر جماعية
733,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,عدم اصلاح الازقة والطرقات,خلق لجنة او تطبيق ذكي لتتبع وضعية الازقة والطرقات
730,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,عدم وجود مراحيض عمومية للنساء,اشراك النساء في بلورة برنامج الجماعة ليستجيب لحاجيات النساء
727,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,ضعف الانارة ومشكل وسائل التنقل,توفير الانارة الكافية
725,اللقاء,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,تلوث الهواء الناتج عن استعمال العربات و النقل الحضري,اعتماد الجماعة على عربات كهربائية - ضر ورة اعتماد بعض الحافلات الكهربائية في أسطول النقل - احداث نقط أكثر للشحن الكهربائي للتشجيع على التنقل الايكولوجي
721,اللقاء,تنمية اقتصادية مبتكرة في خدمة الساكنة المحلية محافظة على الموارد ومثمنة لمميزات ومؤهلات المدينة,صعوبة الولوج لبعض نقط البيع,اشراك اصحاب المنفعة في اتخاد القرار
