code,name_fr,name_ar,region_code,region_name,province_code,province_name,cercle_code,cercle_name,menages,population,etrangers,marocains
07.351.01.03.,Annakhil,النخيل (المقاطعة),07.,Marrakech-Tensift-Al-Haouz,07.351.,Marrakech,07.351.01.,,14466,64590,559,64031
07.351.01.05.,Gueliz,جليز (المقاطعة),07.,Marrakech-Tensift-Al-Haouz,07.351.,Marrakech,07.351.01.,,49314,192774,3608,189166
07.351.01.07.,Marrakech-Médina,مراكش المدينة (المقاطعة),07.,Marrakech-Tensift-Al-Haouz,07.351.,Marrakech,07.351.01.,,28549,120643,383,120260
07.351.01.09.,Ménara,المنارة (المقاطعة),07.,Marrakech-Tensift-Al-Haouz,07.351.,Marrakech,07.351.01.,,94686,411094,1317,409777
07.351.01.11.,Sidi Youssef Ben Ali,سيدي يوسف بن علي (المقاطعة),07.,Marrakech-Tensift-Al-Haouz,07.351.,Marrakech,07.351.01.,,26257,122889,52,122837
09.141.01.01.,Anfa,أنفا (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,26009,94504,3149,91355
09.141.01.03.,El Maarif,المعاريف (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,50253,170689,5043,165646
09.141.01.07.,Sidi Belyout,سيدي بليوط (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,54280,189715,3937,185778
09.141.01.11.,Al-Fida,الفداء (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,38625,158667,124,158543
09.141.01.13.,Mers-Sultan,مرس السلطان (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,34076,129759,1024,128735
09.141.01.21.,Aîn-Sebaâ,عين السبع (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,40197,171452,1227,170225
09.141.01.23.,Assoukhour Assawda,الصخور السوداء (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,30041,115704,1253,114451
09.141.01.25.,Hay Mohammadi,الحي المحمدي (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,33278,138760,155,138605
09.141.01.31.,Hay-Hassani,الحي الحسني (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,118700,468542,5300,463242
09.141.01.41.,Aîn-Chock,عين الشق (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,89013,377744,2043,375701
09.141.01.51.,Sidi Bernoussi,سيدي البرنوصي (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,41288,173189,238,172951
09.141.01.53.,Sidi Moumen,سيدي مومن (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,103310,454779,350,454429
09.141.01.61.,Ben M'Sick,ابن امسيك (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,30519,131883,88,131795
09.141.01.63.,Sbata,سباتة (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,26210,116255,80,116175
09.141.01.71.,Moulay Rachid,مولاي رشيد (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,54286,245484,188,245296
09.141.01.73.,Sidi Othmane,سيدي عثمان (المقاطعة),09.,Grand Casablanca,09.141.,Casablanca,09.141.01.,,49224,220047,114,219933
10.421.01.01.,Agdal Riyad,أكدال الرياض (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.421.,Rabat,10.421.01.,,22399,77257,4572,72685
10.421.01.03.,El Youssoufia,اليوسفية (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.421.,Rabat,10.421.01.,,42312,170561,2858,167703
10.421.01.05.,Hassan,حسان (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.421.,Rabat,10.421.01.,,32848,108179,2151,106028
10.421.01.06.,Souissi,السويسي (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.421.,Rabat,10.421.01.,,5924,23366,1203,22163
10.421.01.09.,Yacoub El Mansour,يعقوب المنصور (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.421.,Rabat,10.421.01.,,47375,194532,2099,192433
10.441.01.03.,Bab Lamrissa,باب المريسة (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.441.,Salé,10.441.01.,,44636,174934,668,174266
10.441.01.05.,Bettana,بطانة (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.441.,Salé,10.441.01.,,22360,95291,386,94905
10.441.01.06.,Hssaine,حصين (المقاطعة),10.,Rabat-Salé-Zemmour-Zaer,10.441.,Salé,10.441.01.,,51858,214540,470,214070
