idea_id,axis,channel,sentiment,polarity_score,summary,pros,cons,topics
748,"الإنارة العمومية
تأهيل المدينة",اللقاء,NEG,-0.7,- تعرض أعمدة الإنارة لعمليات الإتلاف والتخريب.,تفعيل لجنة المراقبة الخاصة بالإنارة يعزز الأمان والسلامة في المنطقة.; وضع كاميرات للمراقبة يساهم في رصد الأنشطة غير المشروعة والحد من الجرائم.,قد يكون هناك انتهاك للخصوصية الشخصية بسبب وجود كاميرات المراقبة.; قد تثير وضع الكاميرات بعض المخاوف بشأن المراقبة الزائدة والاحتمالية للتجسس.,أعمدة الإنارة; عمليات الإتلاف; التخريب
741,النظافة و المحافظة على البيئة و حفظ الصحة,اللقاء,NEG,-0.6,"- سوء وضعية السواقي
- عدم تهيئتها
- عدم رد الاعتبار لها",تثمين ماهو مشترك بين الأطراف; تقدير واحترام سواقي المدينة; تعزيز التعاون والشراكة بين الجهات المختلفة,لم يتم ذكر أي نقاط سلبية في النص,سوء وضعية السواقي; عدم تهيئة السواقي; عدم رد الاعتبار للسواقي
738,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.7,"- نقص الخدمات الاجتماعية يعد من المشاكل الرئيسية
- تأثير سلبي على المجتمع
- يؤدي إلى زيادة الفقر والجريمة
- يحتاج إلى حلول فعالة وسريعة",تقاسم التجارب الفضلى يمكن أن يساهم في تعزيز الخدمات الاجتماعية وتحسينها.,لم يتم ذكر أي نقاط سلبية في النص المعطى.,نقص الخدمات الاجتماعية
735,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.5,- نقص المراحيض العمومية.,توفير خدمة صحية ضرورية للجمهور.; توفير مرافق صحية للمجتمع بشكل عام.; يمكن أن تكون مراحيض عمومية متاحة للجميع في الأماكن العامة.,قد تكون مراحيض عمومية غير نظيفة أو غير صحية.; قد تكون مراحيض عمومية مكانًا لحدوث جرائم أو سلوكيات غير مرغوب فيها.,نقص المراحيض العمومية
736,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.5,"- النص يتحدث عن نقص المقابر
- لم يتم تقديم مزيد من التفاصيل حول الموضوع",,,نقص المقابر
733,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.7,- عدم إصلاح الأزقة والطرقات,يساعد في تحسين تنظيم وضعية الأزقة والطرقات.; يمكن أن يزيد من كفاءة استخدام الطرق ويقلل من الازدحام.,قد يتطلب تكلفة عالية لإنشاء وصيانة التطبيق أو اللجنة.; قد يواجه تحديات في تحديد البعض من الأزقة والطرقات بشكل دقيق.,عدم إصلاح الأزقة; عدم إصلاح الطرقات
730,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.7,- عدم وجود مراحيض عمومية للنساء,تعزيز المشاركة النسائية في صياغة البرامج والقرارات.,قد يكون هناك تحدي في تلبية احتياجات النساء بشكل كامل وفعال.,عدم وجود مراحيض عمومية للنساء
727,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.7,"- ضعف الإنارة
- مشكلة وسائل التنقل",توفير الإنارة الكافية.,لم يتم ذكر أي نقاط سلبية في النص المعطى.,ضعف الإنارة; مشكلة وسائل التنقل
725,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,اللقاء,NEG,-0.6,- تلوث الهواء ناتج عن استخدام العربات ووسائل النقل الحضري.,تقليل الانبعاثات الضارة بالبيئة من خلال استخدام الحافلات الكهربائية.; تشجيع التنقل الايكولوجي والحفاظ على البيئة.,احتياج إلى إنشاء نقاط شحن كهربائية إضافية لدعم استخدام الحافلات الكهربائية.,تلوث الهواء; استعمال العربات; النقل الحضري
721,تنمية اقتصادية مبتكرة في خدمة الساكنة المحلية محافظة على الموارد ومثمنة لمميزات ومؤهلات المدينة,اللقاء,NEG,-0.5,- صعوبة الولوج لبعض نقاط البيع,,,صعوبة الولوج لنقاط البيع
163,"الرقمنة
مغاربة العالم",اللقاء,NEG,-0.6,- صعوبة الوصول إلى المصادر الإدارية للمهاجرين.,تفعيل دور المجلس الإقليمي في مجال الهجرة يعزز التواصل والتعاون بين المهاجرين والمجتمع المحلي.; تنظيم تظاهرة يوم المهاجر يسلط الضوء على دور المهاجرين ويعزز الوعي بقضايا الهجرة.; تفعيل دور مكاتب استقبال المهاجرين يسهم في تسهيل إجراءات واستقبال المهاجرين وتقديم الدعم لهم.,قد تواجه التنظيمات الإقليمية صعوبات في تنظيم وتنفيذ هذه الأنشطة بشكل فعال نظراً للتحديات الإدارية والمالية.; قد تكون هناك صعوبات في تحقيق التوازن بين ا,صعوبة المصادر الإدارية; التحديات التي تواجه المهاجرين
164,مغاربة العالم,اللقاء,NEG,-0.6,"- عدم الاعتراف بجهود الجالية
- عدم تثمين عمل الجالية",تثمين مبادرات الجالية; إقامة مهرجانات; إيلموقارن,لم يتم ذكر أي نقاط سلبية,عدم الاعتراف; عدم تثمين عمل الجالية
165,"الرقمنة
مغاربة العالم",اللقاء,NEG,-0.6,"- انخفاض الثقة بين الجالية والإدارة
- تحول دور الجالية من المساهمة في التنمية الإقليمية إلى مساعدات ذات طابع شخصي
- المساعدات ساهمت في خلق مشكلة الاتكالية
- الوضع تفاقم خصوصا بعد جائحة كوفيد-19",خلق شبكة بين جمعيات داخل المغرب وخارجه وتنشيطها.; توجيه عمل الجمعيات للاستثمار في مشاريع سنوية للإقليم.; إنشاء آليات مواكبة شفافة لأنشطة الجالية ومشاريعها.; إنشاء منصة إلكترونية لتلبية احتياجات كل قضية على حدة.; دور المجلس الإقليمي كوسيط بين منظمات المجتمع المدني خارج الوطن.,لم يتم ذكر أي نقاط سلبية في النص المعطى.,انخفاض الثقة بين الجالية والإدارة; تحول دور الجالية من المساهمة في التنمية الإقليمية إلى مساعدات ذات طابع شخصي; مشكلة الاتكالية بعد جائحة كوفيد
705,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,اللقاء,NEG,-0.6,- اشكالية تدبير وإعادة تدبير مطرح النفايات في مدينة فاس,مراجعة دفتر التحملات مع الشركة المعنية تعكس الاهتمام بالبيئة والاستدامة.; اقامة حاجز نباتي بين المطرح والمدينة يمكن أن يحد من تأثيرات الروائح الكريهة والتلوث البيئي.,قد تكون الإجراءات المطلوبة لمراجعة دفتر التحملات مع الشركة المعنية معقدة وتستغرق وقتًا طويلاً.; اقامة حاجز نباتي بين المطرح والمدينة قد تتطلب تكاليف إضافية وجهود صيانة دورية.,تدبير مطرح النفايات; إعادة تدبير مطرح النفايات; مدينة فاس
704,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.5,"- شبكة التطهير في الأحياء الشعبية والمدينة القديمة تعاني من التهالك
- تحتاج شبكة التطهير إلى إصلاح وتحديث
- الوضع الحالي يشير إلى ضعف في البنية التحتية لشبكة التطهير","جرد الأحياء التي تعاني من الهشاشة.; التنسيق والاشراك للوكالة المستقلة لتوزيع الماء والكهرباء.; وضع استراتيجية على المستوى القريب والمتوسط والبعيد.; التدخل الفوري في النقاط السوداء.; توسيع شبكة التطهير السائل ""حجم القنوات"".",لم يتم ذكر أي نقاط سلبية في النص المعطى.,شبكة التطهير; الأحياء الشعبية; المدينة القديمة; التدهور
703,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.5,"- اشكالية تدبير قطاع النظافة في مدينة فاس تعتبر موضوعاً هاماً
- تحتاج مدينة فاس إلى حلول فعالة لتحسين تدبير قطاع النظافة
- قد تشمل الحلول تحسين البنية التحتية وتوفير الموارد اللازمة
- يجب على الجهات المعنية اتخاذ إجراءات عاجلة لتحسين الوضع في هذا القطاع",توعية الساكنة بالطرق الصحيحة لوضع النفايات.; إضافة حاويات جديدة في جميع المناطق الحضرية.; تنظيف الحاويات باستمرار.; توفير لباس أمن لعمال النظافة.,لم يتم ذكر أي نقاط سلبية في النص المعطى.,مشكلة تدبير قطاع النظافة في مدينة فاس
702,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,اللقاء,NEG,-0.6,"- غياب الوثائق القانونية المرتبطة بالتعمير
- الأهمية في اختيار مواقع النفايات",دراسة تقنية لاختيار المطرح,غياب المحسوبية والزبونية في اختيار المطرح,غياب الوثائق القانونية; التعمير; اختيار مواقع النفايات
701,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,اللقاء,POS,0.3,"- حاويات للازبال غير كافية
- الهدف: تغطية مختلف أحياء الجماعة",توفير حاويات إضافية للنفايات.; صيانة الحاويات الموجودة تعزز النظافة والنظام في المكان.,قد تكون هناك تكاليف إضافية مرتبطة بتوفير وصيانة الحاويات الإضافية.,حاويات للازبال; تغطية مختلف أحياء الجماعة
699,تنمية اقتصادية مبتكرة في خدمة الساكنة المحلية محافظة على الموارد ومثمنة لمميزات ومؤهلات المدينة,اللقاء,NEG,-0.5,- وجود نقص في لوحات التشوير.,تحسين الوضوح والواضحية للوحات التشوير.; زيادة الكفاءة والدقة في عرض المعلومات.; تقليل الخطأ البشري في تصميم وتنفيذ لوحات التشوير.,قد تكون التكنولوجيا المستخدمة باهظة التكلفة.; قد تحتاج عملية التحديث والصيانة للوحات التشوير الرقمية إلى مهارات خاصة.,نقص في لوحات التشوير
696,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اللقاء,NEG,-0.5,"- احتلال الملك العام
- تأثيره على تنقل الراجلين",التطبيق المسؤول للقانون المؤطر; تنظيم لقاءات تحسيسية بخطورة احتلال الملك العام; تطبيق الذعائر,لم يتم ذكر أي نقاط سلبية في النص,احتلال الملك العام; تأثير احتلال الملك العام على تنقل الراجلين
