code,name_fr,name_ar,region_code,region_name,province_code,province_name,cercle_code,cercle_name,menages,population,etrangers,marocains
03.261.03.11.3.,Taghjijt,   مركز: تغجيجت,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,1471,6700,1,6699
04.001.05.09.3.,Drargua,   مركز: الدراركة ,04.,Souss-Massa-Draa,04.001.,Agadir-Ida -Ou-Tanane,04.001.05.,Agadir  Banlieue,11136,50946,32,50914
04.001.07.03.3.,Aourir,   مركز: أورير,04.,Souss-Massa-Draa,04.001.,Agadir-Ida -Ou-Tanane,04.001.07.,Agadir  Atlantique,7914,35365,173,35192
04.163.05.11.3.,Belfaa,   مركز: بلفاع ,04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.05.,Belfaa- Massa,1189,4750,4,4746
04.163.05.21.3.,Massa,   مركز: ماسة,04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.05.,Belfaa- Massa,2469,10458,14,10444
04.163.07.01.3.,Ait Amira,   مركز: ايت عميرة,04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.07.,Biougra,11835,48560,4,48556
04.163.07.27.3.,Sidi Bibi,   مركز: سيدي بيبي,04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.07.,Biougra,1495,6162,28,6134
04.273.05.27.3.,Temsia,   مركز: تمسية,04.,Souss-Massa-Draa,04.273.,Inezgane- Ait Melloul,04.273.05.,Ait Melloul,6222,27955,5,27950
04.401.07.07.3.,Skoura,   مركز: سكورة,04.,Souss-Massa-Draa,04.401.,Ouarzazate,04.401.07.,Ouarzazate,900,4332,3,4329
04.401.07.09.3.,Tabounte,   مركز: تبونت,04.,Souss-Massa-Draa,04.401.,Ouarzazate,04.401.07.,Ouarzazate,5829,31072,24,31048
04.473.05.07.3.,Mirleft,   مركز: مير لفت ,04.,Souss-Massa-Draa,04.473.,Sidi Ifni,04.473.05.,Ifni,1243,4664,57,4607
04.577.02.05.3.,Alnif,   مركز: النيف,04.,Souss-Massa-Draa,04.577.,Tinghir,04.577.02.,Alnif,672,4728,0,4728
05.281.03.13.3.,Sidi Taîbi,   مركز: سيدي الطيبي,05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.03.,Kénitra-Banlieue,10218,46751,5,46746
05.281.07.01.3.,Arbaoua,   مركز: عرباوة,05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.07.,Souk Arbaa  El Gharb,716,3050,0,3050
05.281.09.09.3.,Sidi Allal Tazi,   مركز: سيدي علال التازي,05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.09.,Souk Tlet  El Gharb,904,4870,0,4870
05.281.11.05.3.,Lalla Mimouna,   مركز: للا ميمونة,05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.11.,Lalla Mimouna,3058,15767,0,15767
05.281.11.07.3.,Moulay Bousselham,   مركز: مولاي بوسلهام,05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.11.,Lalla Mimouna,1693,7372,55,7317
05.481.07.05.3.,Khnichet,   مركز: الخنيشات,05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.07.,Ouargha,2193,10295,1,10294
05.481.09.13.3.,Zirara,   مركز: زيرارة,05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.09.,Chrarda,1673,8000,0,8000
06.311.05.05.3.,Boulanouare,   مركز: بولنوار,06.,Chaouia-Ouardigha,06.311.,Khouribga,06.311.05.,Khouribga,2802,12756,5,12751
06.461.03.25.3.,Ras E l Ain,   مركز: راس العين,06.,Chaouia-Ouardigha,06.461.,Settat,06.461.03.,Ben Ahmed,753,3614,0,3614
06.461.09.07.3.,Guisser,   مركز: كيسر,06.,Chaouia-Ouardigha,06.461.,Settat,06.461.09.,Settat,526,2471,0,2471
06.461.09.19.3.,Oulad Said,   مركز: أولاد سعيد,06.,Chaouia-Ouardigha,06.461.,Settat,06.461.09.,Settat,491,2205,0,2205
07.041.03.11.3.,Ghmate,   مركز: اغمات ,07.,Marrakech-Tensift-Al-Haouz,07.041.,Al  Haouz,07.041.03.,Ait Ourir,247,1208,4,1204
07.041.03.15.3.,Sidi Abdallah Ghiat,   مركز: سيدي عبد الله غيات ,07.,Marrakech-Tensift-Al-Haouz,07.041.,Al  Haouz,07.041.03.,Ait Ourir,368,1701,1,1700
07.041.05.11.3.,Lalla Takarkoust,   مركز: للا تكركوست ,07.,Marrakech-Tensift-Al-Haouz,07.041.,Al  Haouz,07.041.05.,Amizmiz,932,4080,10,4070
