code,name_fr,name_ar,region_code,region_name,province_code,province_name,menages,population,etrangers,marocains
01.066.03.,Aousserd,دائرة : أوسرد,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,168,11565,116,11449
01.066.05.,Bir Gandouz,دائرة : بئر كندوز,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,608,4625,64,4561
01.391.05.,Bir Anzarane,دائرة : بئر انزران,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,259,11580,28,11552
01.391.09.,El Argoub,دائرة : العركوب,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,2881,8908,127,8781
02.121.03.,Jraifia,دائرة : الجريفية,02.,Laayoune-Boujdour-Sakia El Hamra,02.121.,Boujdour,675,7915,32,7883
02.321.03.,Laayoune,دائرة : العيون,02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,701,2447,43,2404
02.537.03.,Daoura -el Hagounia,دائرة : الدورة الحكونية,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,325,1259,0,1259
02.537.05.,Tarfaya,دائرة : طرفاية,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,976,3796,13,3783
03.071.03.,Assa,دائرة : أسا,03.,Guelmim Es Semara,03.071.,Assa-Zag,956,10455,1,10454
03.071.05.,Zag,دائرة : الزاك,03.,Guelmim Es Semara,03.071.,Assa-Zag,321,6336,1,6335
03.221.03.,Es-Semara,دائرة : السمارة,03.,Guelmim Es Semara,03.221.,Es-Semara,212,8979,10,8969
03.261.03.,Bouizakarne,دائرة : بويزكارن,03.,Guelmim Es Semara,03.261.,Guelmim,7439,35670,13,35657
03.261.05.,Guelmim,دائرة : كلميم,03.,Guelmim Es Semara,03.261.,Guelmim,1852,9899,29,9870
03.261.07.,Laqsabi,دائرة : لقصابي,03.,Guelmim Es Semara,03.261.,Guelmim,2062,9693,10,9683
03.521.03.,Msied,دائرة : امسيد,03.,Guelmim Es Semara,03.521.,Tan-Tan,376,2290,0,2290
03.521.05.,Tan Tan,دائرة : طانطان,03.,Guelmim Es Semara,03.521.,Tan-Tan,313,1340,0,1340
03.551.03.,Akka,دائرة : أقا,03.,Guelmim Es Semara,03.551.,Tata,3553,16914,2,16912
