code,name_fr,name_ar,region_code,region_name,province_code,province_name,cercle_code,cercle_name,menages,population,etrangers,marocains
01.066.03.03.,Aghouinite,اغونيت,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.03.,Aousserd,,,,
01.066.03.05.,Aousserd,أوسرد,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.03.,Aousserd,154.0,5822.0,97.0,5725.0
01.066.03.07.,Tichla,تشلا,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.03.,Aousserd,14.0,5743.0,19.0,5724.0
01.066.03.09.,Zoug,زوك,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.03.,Aousserd,,,,
01.066.05.03.,Bir Gandouz,بئر كندوز,01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.05.,Bir Gandouz,608.0,4625.0,64.0,4561.0
01.391.05.01.,Bir Anzarane,بئر انزران,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.05.,Bir Anzarane,234.0,6244.0,16.0,6228.0
01.391.05.03.,Gleibat El Foula,اكليبات الفولة,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.05.,Bir Anzarane,18.0,2190.0,12.0,2178.0
01.391.05.05.,Mijik,مجيك,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.05.,Bir Anzarane,,,,
01.391.05.07.,Oum Dreyga,أم ادريكة,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.05.,Bir Anzarane,7.0,3146.0,0.0,3146.0
01.391.09.01.,El Argoub,العركوب,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.09.,El Argoub,1964.0,5759.0,42.0,5717.0
01.391.09.03.,Imlili,امليلي,01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.09.,El Argoub,917.0,3149.0,85.0,3064.0
02.121.03.01.,Gueltat Zemmour,كلتة زمور,02.,Laayoune-Boujdour-Sakia El Hamra,02.121.,Boujdour,02.121.03.,Jraifia,83.0,6393.0,12.0,6381.0
02.121.03.03.,Jraifia,الجريفية,02.,Laayoune-Boujdour-Sakia El Hamra,02.121.,Boujdour,02.121.03.,Jraifia,352.0,950.0,4.0,946.0
02.121.03.05.,Lamssid,لمسيد,02.,Laayoune-Boujdour-Sakia El Hamra,02.121.,Boujdour,02.121.03.,Jraifia,240.0,572.0,16.0,556.0
02.321.03.01.,Boukraa,بوكراع,02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,02.321.03.,Laayoune,200.0,558.0,4.0,554.0
02.321.03.03.,Dcheira,الدشيرة,02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,02.321.03.,Laayoune,148.0,509.0,21.0,488.0
02.321.03.05.,Foum El Oued,فم الواد,02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,02.321.03.,Laayoune,353.0,1380.0,18.0,1362.0
02.537.03.03.,Daoura,دورة,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,02.537.03.,Daoura -el Hagounia,297.0,1108.0,0.0,1108.0
02.537.03.05.,El Hagounia,الحكونية,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,02.537.03.,Daoura -el Hagounia,28.0,151.0,0.0,151.0
02.537.05.01.,Akhfennir,اخفنير,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,02.537.05.,Tarfaya,610.0,2280.0,9.0,2271.0
02.537.05.07.,Tah,طاح,02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,02.537.05.,Tarfaya,366.0,1516.0,4.0,1512.0
03.071.03.01.,Aouint Lahna,عوينة لهنا,03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.03.,Assa,314.0,2391.0,0.0,2391.0
03.071.03.03.,Aouint Yghomane,عوينة يغمان,03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.03.,Assa,470.0,3042.0,0.0,3042.0
03.071.03.05.,Touizgui,تويزكي,03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.03.,Assa,172.0,5022.0,1.0,5021.0
03.071.05.01.,Al Mahbass,المحبس,03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.05.,Zag,153.0,4208.0,0.0,4208.0
03.071.05.03.,Labouirat,لبويرات,03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.05.,Zag,168.0,2128.0,1.0,2127.0
03.221.03.01.,Amgala,امكالة,03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.03.,Es-Semara,25.0,2945.0,5.0,2940.0
03.221.03.03.,Haouza,حوزة,03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.03.,Es-Semara,48.0,5462.0,0.0,5462.0
03.221.03.05.,Jdiriya,اجديرية,03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.03.,Es-Semara,48.0,248.0,0.0,248.0
03.221.03.07.,Sidi Ahmed Laaroussi,سيدي أحمد العروسي,03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.03.,Es-Semara,76.0,269.0,4.0,265.0
03.221.03.09.,Tifariti,تيفاريتي,03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.03.,Es-Semara,15.0,55.0,1.0,54.0
03.261.03.01.,Aday,اداي,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,669.0,3005.0,1.0,3004.0
03.261.03.03.,Ait Boufoulen,أيت بوفلن,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,211.0,1045.0,0.0,1045.0
03.261.03.05.,Amtdi,امتدي,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,325.0,1472.0,0.0,1472.0
03.261.03.07.,Ifrane Atlas Saghir,افران أطلس الصغير,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,2383.0,11205.0,2.0,11203.0
03.261.03.09.,Tagante,تكانت,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,666.0,3630.0,6.0,3624.0
03.261.03.11.,Taghjijt,تغجيجت,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,2076.0,9988.0,1.0,9987.0
03.261.03.13.,Timoulay,تمولاي,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.03.,Bouizakarne,1109.0,5325.0,3.0,5322.0
03.261.05.03.,Aferkat,افركات,03.,Guelmim Es Semara,03.261.,Guelmim,03.261.05.,Guelmim,268.0,1460.0,0.0,1460.0
