article_url,commenter,comment_date,comment
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,عاطل,الأربعاء 18 دجنبر 2024 - 09:16,مساطر قوانين كثيرة جدا تنتظر التغيير و التتميم لمسايرة سرعات التطور الحاصل لاحتضان المونديال و كذا ضمان سلاسة الانجازات و المحاسبة
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,متتبع,الأربعاء 18 دجنبر 2024 - 09:20,أبسط مطلب هو الرجوع للساعة القانونية غرينيتش لم يتحقق للأسف، و لازلنا ننتظر المصادقة على التقاعد ب 1320 نقطة
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,حكومة,الأربعاء 18 دجنبر 2024 - 09:39,الحكومة تتدارس مراسيم، وعليها أن تنظر ملف المتقاعدين والزيادة عاجلا في معاشاتهم للرفع من القدرة الشرائية، على غرار استفادة الموظفين من زيادة في رواتبهم الشهرية والله ولي التوفيق
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,مصطفى,الأربعاء 18 دجنبر 2024 - 09:57,المتقاعدين في إنتظار مشاريعكم. واملهم في ألله..
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,عبدو,الأربعاء 18 دجنبر 2024 - 12:05,أولوية الأولويات الرفع من معاشات المتقاعدين يا حكومة أمة تتحايل وتتنكر لمجهودات وتضحيات آبائها وشيوخها الضعفاء
https://www.hespress.com/%d8%a7%d9%84%d8%ad%d9%83%d9%88%d9%85%d8%a9-%d8%aa%d8%aa%d8%af%d8%a7%d8%b1%d8%b3-7-%d9%85%d8%b4%d8%a7%d8%b1%d9%8a%d8%b9-%d9%85%d8%b1%d8%a7%d8%b3%d9%8a%d9%85-1483171.html,التعيين في المناصب العليا,الأربعاء 18 دجنبر 2024 - 14:08,دائماً التعيين في المناصب العليا، لفلوس موجودة ، هاد المناصب العليا هي الإنجاز التاريخي الذي أعلن لقجع عنه بخصوص الإعفاء الضريبي  الذي لم يستفيد منه المتقاعدات و المتقاعدين في المغرب.
https://www.hespress.com/%d8%a3%d8%ae%d9%86%d9%88%d8%b4-%d9%8a%d8%aa%d8%a8%d8%a7%d8%ad%d8%ab-%d9%85%d8%b9-%d8%a3%d9%85%d9%8a%d9%86-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-1480687.html,marroquí,الخميس 12 دجنبر 2024 - 22:49,الحمدلله، ،هادشي كيفرح،،،شكرا لاخواننا
https://www.hespress.com/%d8%a3%d8%ae%d9%86%d9%88%d8%b4-%d9%8a%d8%aa%d8%a8%d8%a7%d8%ad%d8%ab-%d9%85%d8%b9-%d8%a3%d9%85%d9%8a%d9%86-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-1480687.html,محماد بارك,الجمعة 13 دجنبر 2024 - 07:21,نحن كأمازيغ يجب علينا دعم السيد رئيس الحكومة اولا لانه أمازيغي ثانيا لانه الرجل المناسب في الوقت الحالي و الحاضر نحن نعلم ما يعانيه المغرب  من طرف جميع الحكومات السابقة حان الوقت لتصحيح الاغلاط و كلنا تقة في اخنوش ولعل المشاريع العملاقة  التي انجزها دليل قاطع على انه يحب خدمة هذا الوطن العظيم تحت القيادة الحكيمة لصاحب الجلالة حفظه الله لنا جميعا
https://www.hespress.com/%d8%a3%d8%ae%d9%86%d9%88%d8%b4-%d9%8a%d8%aa%d8%a8%d8%a7%d8%ad%d8%ab-%d9%85%d8%b9-%d8%a3%d9%85%d9%8a%d9%86-%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-1480687.html,مغربي,الجمعة 13 دجنبر 2024 - 07:50,حفظ الله ملكنا المفدى بما حفظ به الذكر الحكيم و أدام عليه الصحة و السلامة و العز و النصر و التمكين و الأفراح و المسرات و التوفيق و التفوق باستمرار أينما حل و ارتحل الراءد بالجميع المقاييس في خدمة المغرب المغاربة بشتى المجالات بوضوح و طموح لا محدود دون ملل او كلل و نكران الذات و من خلفه الكفاءات المغربية الكفوءة التي تجعل المصالح العليا للمغرب و المغاربة فوق كل اعتبار باستمرار من الطينة السيد عزيز أخنوش أينما تواجدو بارجاء العالم.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,Kacemi Mekki,الإثنين 9 دجنبر 2024 - 10:09,كل من يحترم سيادة المغرب على كامل ترابه و لا يتدخل في شؤونه الداخلية صديق للمغرب مهما كانت ايديولوجيته
