text,ground_truth,anthropic_prediction,anthropic_confidence
تعرض أعمدة الإنارة لعمليات الإتلاف و التخريب,negative,negative,0.85
سوء وضعية السواقي وعدم تهيئتها ورد الإعتبار لها,negative,negative,0.85
نقص الخدمات الاجتماعية,negative,negative,0.85
نقص المراحيض العموميةا,negative,negative,0.75
نقص المقابر,negative,negative,0.85
عدم اصلاح الازقة والطرقات,negative,negative,0.85
عدم وجود مراحيض عمومية للنساء,negative,negative,0.85
ضعف الانارة ومشكل وسائل التنقل,negative,negative,0.85
تلوث الهواء الناتج عن استعمال العربات و النقل الحضري,negative,negative,0.85
صعوبة الولوج لبعض نقط البيع,neutral,negative,0.85
صعوبة المصادر الإدارية بالنسبة للمهاجرين,neutral,negative,0.8
عدم الاعتراف وعدم تثمين عمل الجاليه,negative,negative,0.85
انخفاض الثقة بين الجالية والإدارة وتحول دورهم منه المساهمة في التنمية الإقليمية إلى مساعدات ذات طابع شخصي والتي ساهمت في خلق مشكلة الاتكالية خصوصا بعد 19 - كوفيد,negative,negative,0.85
اشكالية تدبير و اعادة تدبير مطرح النفايات بمدينة فاس,neutral,neutral,0.85
شبكة التطهير المتهالكة بالاحياء الشعبية و المدينة القديمة,negative,negative,0.85
اشكالية تدبير قطاع النظافة بمدينة فاس,neutral,neutral,0.8
غياب الوثائق القانونية المرتبطة بالتعمير من أجل اختيار مواقع النفايات -,negative,negative,0.75
حاويات للازبال غيركافية لتغطية مختلف احياء الجماعة,neutral,negative,0.85
نقص في لوحات التشوير,negative,negative,0.7
احتلال الملك العام و تاثيره على تنقل الراجلين,negative,negative,0.75
انتشار الحيوانات الضالة,negative,negative,0.75
نسبة الامية المرتفعة,negative,negative,0.85
احتلال الملك العمومي,negative,negative,0.7
ضعف خدمات الانارة العمومية,negative,negative,0.85
اشكالية تدبير الفضاءات الرياضية,neutral,neutral,0.8
عدم تعميم الرقمنة عتى جميع مصاتح الجماعة,negative,negative,0.7
غياب رؤية استراتيجية في الشان الثقافي,negative,negative,0.85
عذم الاشراك في صياغة واعداد دفتر التحملات,negative,negative,0.85
عدم اشراك المواطنين في برنامج الجماعة,neutral,negative,0.85
اشكالية الكلاب الضالة,negative,negative,0.7
ضعف ادماج المجتمع المدني داخل الجماعة,negative,negative,0.85
غياب اليات للتتبع و التقييم,negative,negative,0.85
قلة ملاعب القرب,negative,negative,0.7
عم توفر الجماعة على دراسة في المجال البيئي,neutral,neutral,0.85
اشكالية اتلاف التجهيزات و المرافق العمومية,negative,negative,0.75
اشكالية السير و الجولان,negative,negative,0.7
اشكالية تدبير النفايات بالمدينة,negative,negative,0.7
ضعف النقل الحضري,negative,negative,0.85
ضعف البرامج التي تستهذف المرأة الحرفية,negative,negative,0.85
غياب مراكز لاستقبال و توجيه الاشخاص في وضعية اعاقة,negative,negative,0.85
ضعف التمكين الاقتصادي للنساء,negative,negative,0.85
توقف مركز ايوء المرأة في وضعية صعبة,negative,negative,0.85
عدم اعتماد برامج تنموية تستحضر مقاربة النوع,negative,negative,0.8
عدم اشراك المرأة في الميزانية العامة و المشاريع التنموية,neutral,negative,0.85
ضعف برامج تعنى بالمرأة و ضعف المقاربة التشاركية,negative,negative,0.85
ضعف اشراك المرأة في التدبير,negative,negative,0.85
غياب الية لقياس رضى المواطن,neutral,negative,0.85
الموقع الرسمي للجماعة و الصفحة الرسمية على الفايسبوك يقتصران على :- الانشطة الكبرى للجماعة,neutral,neutral,0.85
ضعف التشوير بالامازيغية - غياب حرف تيفيناغ في الممارسات الادارية,negative,negative,0.85
صعوبة تفعيل الاليات و النصوص القانونية الخاصة بالوصول للمعلومة,negative,negative,0.85
تعقيد المساطر,negative,negative,0.75
عدم تحديد اليات التواصل,neutral,negative,0.75
