code,name_fr,name_ar,region_code,region_name,province_code,province_name,cercle_code,cercle_name,menages,population,etrangers,marocains
01.066.01.03.,Lagouira,الكويرة (البلدية),01.,Oued Ed-Dahab-Lagouira,01.066.,Aousserd,01.066.01.,,,,,
01.391.01.01.,Dakhla,الداخلة (البلدية),01.,Oued Ed-Dahab-Lagouira,01.391.,Oued Ed-Dahab,01.391.01.,,25469.0,106277.0,553.0,105724.0
02.121.01.01.,Boujdour,بوجدور (البلدية),02.,Laayoune-Boujdour-Sakia El Hamra,02.121.,Boujdour,02.121.01.,,9511.0,42651.0,40.0,42611.0
02.321.01.01.,El Marsa,المرسى (البلدية),02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,02.321.01.,,4811.0,17917.0,19.0,17898.0
02.321.01.03.,Laayoune,العيون (البلدية),02.,Laayoune-Boujdour-Sakia El Hamra,02.321.,Laâyoune,02.321.01.,,48049.0,217732.0,534.0,217198.0
02.537.01.05.,Tarfaya,طرفاية (البلدية),02.,Laayoune-Boujdour-Sakia El Hamra,02.537.,Tarfaya,02.537.01.,,2092.0,8027.0,62.0,7965.0
03.071.01.01.,Assa,أسا (البلدية),03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.01.,,2990.0,14570.0,2.0,14568.0
03.071.01.03.,Zag,الزاك (البلدية),03.,Guelmim Es Semara,03.071.,Assa-Zag,03.071.01.,,941.0,12763.0,0.0,12763.0
03.221.01.01.,Es-semara,السمارة (البلدية),03.,Guelmim Es Semara,03.221.,Es-Semara,03.221.01.,,11402.0,57035.0,24.0,57011.0
03.261.01.01.,Bouizakarne,بويز كارن (البلدية),03.,Guelmim Es Semara,03.261.,Guelmim,03.261.01.,,3194.0,14228.0,0.0,14228.0
03.261.01.03.,Guelmim,كلميم (البلدية),03.,Guelmim Es Semara,03.261.,Guelmim,03.261.01.,,25667.0,118318.0,143.0,118175.0
03.521.01.01.,Tan Tan,طانطان (البلدية),03.,Guelmim Es Semara,03.521.,Tan-Tan,03.521.01.,,16411.0,73209.0,36.0,73173.0
03.521.01.03.,El Ouatia,الوطية (البلدية),03.,Guelmim Es Semara,03.521.,Tan-Tan,03.521.01.,,2372.0,9295.0,10.0,9285.0
03.551.01.01.,Akka,اقا (البلدية),03.,Guelmim Es Semara,03.551.,Tata,03.551.01.,,1295.0,6870.0,0.0,6870.0
03.551.01.03.,Fam El Hisn,فم الحصن (البلدية),03.,Guelmim Es Semara,03.551.,Tata,03.551.01.,,1300.0,6353.0,2.0,6351.0
03.551.01.05.,Foum Zguid,فم  زكيد (البلدية),03.,Guelmim Es Semara,03.551.,Tata,03.551.01.,,1674.0,8986.0,10.0,8976.0
03.551.01.07.,Tata,طاطا (البلدية),03.,Guelmim Es Semara,03.551.,Tata,03.551.01.,,3723.0,18611.0,12.0,18599.0
04.001.01.01.,Agadir,اكادير (البلدية),04.,Souss-Massa-Draa,04.001.,Agadir-Ida -Ou-Tanane,04.001.01.,,105057.0,421844.0,3426.0,418418.0
04.163.01.03.,Ait Baha,أيت باها (البلدية),04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.01.,,1346.0,5668.0,1.0,5667.0
04.163.01.11.,Biougra,بيوكرة (البلدية),04.,Souss-Massa-Draa,04.163.,Chtouka- Ait Baha,04.163.01.,,9476.0,37933.0,32.0,37901.0
04.273.01.05.,Ait Melloul,أيت ملول (البلدية),04.,Souss-Massa-Draa,04.273.,Inezgane- Ait Melloul,04.273.01.,,39697.0,171847.0,129.0,171718.0
04.273.01.13.,Dcheira El Jihadia,الدشيرة الجهادية (البلدية),04.,Souss-Massa-Draa,04.273.,Inezgane- Ait Melloul,04.273.01.,,24528.0,100336.0,72.0,100264.0
04.273.01.15.,Inezgane,انزكان (البلدية),04.,Souss-Massa-Draa,04.273.,Inezgane- Ait Melloul,04.273.01.,,29723.0,130333.0,141.0,130192.0
04.273.01.17.,Lqliaa,القليعة (البلدية),04.,Souss-Massa-Draa,04.273.,Inezgane- Ait Melloul,04.273.01.,,18127.0,83235.0,74.0,83161.0
04.401.01.07.,Ouarzazate,ورزازات (البلدية),04.,Souss-Massa-Draa,04.401.,Ouarzazate,04.401.01.,,15475.0,71067.0,192.0,70875.0
04.401.01.09.,Taznakht,تازناخت (البلدية),04.,Souss-Massa-Draa,04.401.,Ouarzazate,04.401.01.,,1528.0,7281.0,5.0,7276.0
04.473.01.01.,Lakhsas,الاخصاص (البلدية),04.,Souss-Massa-Draa,04.473.,Sidi Ifni,04.473.01.,,1121.0,4729.0,0.0,4729.0
04.473.01.03.,Sidi Ifni,سيدي إفني (البلدية),04.,Souss-Massa-Draa,04.473.,Sidi Ifni,04.473.01.,,5463.0,21618.0,29.0,21589.0
04.541.01.01.,Ait Iaaza,أيت ايعزة (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,3126.0,14259.0,2.0,14257.0
04.541.01.02.,Aoulouz,أولوز (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,3633.0,17409.0,2.0,17407.0
04.541.01.03.,El Guerdane,الكردان (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,2674.0,12313.0,3.0,12310.0
04.541.01.05.,Irherm,ايغرم (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,1002.0,4108.0,0.0,4108.0
04.541.01.07.,Oulad Berhil,أولاد برحيل (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,5041.0,24288.0,3.0,24285.0
04.541.01.09.,Oulad Teima,أولاد تايمة (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,19652.0,89387.0,24.0,89363.0
04.541.01.11.,Taliouine,تالوين (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,1489.0,6727.0,7.0,6720.0
04.541.01.13.,Taroudannt,تارودانت (البلدية),04.,Souss-Massa-Draa,04.541.,Taroudannt,04.541.01.,,18788.0,80149.0,103.0,80046.0
04.577.01.03.,Boumalne Dades,بو مالن دادس (البلدية),04.,Souss-Massa-Draa,04.577.,Tinghir,04.577.01.,,2294.0,12328.0,6.0,12322.0
04.577.01.05.,Kalaat M'Gouna,قلعة مكونة (البلدية),04.,Souss-Massa-Draa,04.577.,Tinghir,04.577.01.,,3171.0,16956.0,6.0,16950.0
04.577.01.11.,Tinghir,تنغير (البلدية),04.,Souss-Massa-Draa,04.577.,Tinghir,04.577.01.,,7904.0,42044.0,55.0,41989.0
04.581.01.05.,Tafraout,تافراوت (البلدية),04.,Souss-Massa-Draa,04.581.,Tiznit,04.581.01.,,1771.0,6345.0,16.0,6329.0
04.581.01.07.,Tiznit,تزنيت (البلدية),04.,Souss-Massa-Draa,04.581.,Tiznit,04.581.01.,,18420.0,74699.0,91.0,74608.0
04.587.01.01.,Agdz,اكدز (البلدية),04.,Souss-Massa-Draa,04.587.,Zagora,04.587.01.,,1865.0,10681.0,14.0,10667.0
04.587.01.13.,Zagora,زاكورة (البلدية),04.,Souss-Massa-Draa,04.587.,Zagora,04.587.01.,,6332.0,40067.0,39.0,40028.0
05.281.01.01.,Kénitra,القنيطرة (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.01.,,102177.0,431282.0,1587.0,429695.0
05.281.01.05.,Mehdya,مهدية (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.01.,,6653.0,28636.0,74.0,28562.0
05.281.01.11.,Souk El Arbaa,سوق الاربعاء (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.281.,Kénitra,05.281.01.,,14268.0,69265.0,28.0,69237.0
05.481.01.01.,Dar Gueddari,دار الكداري (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.01.,,1298.0,6643.0,3.0,6640.0
05.481.01.03.,Had Kourt,احد كورت (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.01.,,1777.0,7843.0,1.0,7842.0
05.481.01.05.,Jorf El Melha,جرف الملحة (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.01.,,5888.0,28681.0,2.0,28679.0
05.481.01.07.,Mechraa Bel Ksiri,مشرع بلقصيري (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.01.,,7017.0,31497.0,18.0,31479.0
05.481.01.11.,Sidi Kacem,سيدي قاسم (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.481.,Sidi Kacem,05.481.01.,,17923.0,75672.0,48.0,75624.0
05.491.01.07.,Sidi Slimane,سيدي سليمان (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.491.,Sidi Slimane,05.491.01.,,20725.0,92989.0,62.0,92927.0
05.491.01.09.,Sidi Yahya El Gharb,سيدي يحيى الغرب (البلدية),05.,Gharb-Chrarda-Beni-Hssen,05.491.,Sidi Slimane,05.491.01.,,7498.0,37979.0,14.0,37965.0
06.111.01.01.,Benslimane,بنسليمان (البلدية),06.,Chaouia-Ouardigha,06.111.,Benslimane,06.111.01.,,13092.0,57101.0,66.0,57035.0
06.111.01.03.,Bouznika,بوزنيقة (البلدية),06.,Chaouia-Ouardigha,06.111.,Benslimane,06.111.01.,,8488.0,37238.0,105.0,37133.0
06.111.01.05.,El Mansouria,المنصورية (البلدية),06.,Chaouia-Ouardigha,06.111.,Benslimane,06.111.01.,,4842.0,19853.0,266.0,19587.0
