text,ground_truth,anthropic_prediction,anthropic_confidence
عجز الموارد المالية لتنزيل الاختصاص,neutral,negative,0.85
نقص الموارد البشرية المخنصة وكدا الوسائل التقنية في تتبع وتقييم برنامج عمل الجماعة,negative,negative,0.85
غياب تواصل حقيقي بين المواطن والجهة,negative,negative,0.85
عدم وجود ولوجيات بعدة مرافق عمومية بتراب,negative,negative,0.75
- اشكالية التواصل بين الجماعة و المجتمع المدني- عدم تفاعل المعلومة وبالتالي عدم المساهمة في تعزيز الفكر- اقصاء فئة من المجتمع المدني - - عدم اشراك المواطنين في قرارات الجماعة,negative,negative,0.85
غياب العدالة المجالية على مستوى تنزيل المشاريع المبرمجة في إطار برنامج التنمية الجهوي؛ عدم ملائمة بعض المشاريع مع خصوصيات الجهة (كل إقليم)؛ عدم التحديد الدقيق للأولويات في مرحلة التنزيل (غياب الحكامة),negative,negative,0.85
عدم تعميم نشر المعلومة,negative,negative,0.75
قلة تواصل المجلس الجماعي مع وداديات الاحياء و الجمعيات البيئية و الساكنة حول تدبير النفايات المنزلية,neutral,negative,0.75
عدم تنظيم مهرجان العيطة الجبلية -موسيقى الجبل- بمدينة وزان,negative,negative,0.75
صعوبة الولوج للمعلومة,negative,negative,0.85
"الفاعل الاقتصادي
عدم تواجد حي الصناعي وحرفي وتجاري
تعقيد المساطر الادارية
ارتفاع تكلفات كراء العقارات 
ضعف تمويل حاملي المشاريع 
قلة فرص الشغل
ضعف التجهيزات الاساسية
ضعف الوعاء العقاري لانشاء المشاريع",negative,negative,0.9
صعوبة الوصول إلى الميزانية,negative,negative,0.75
(' en dere d' azru ver chinfra (المسرحية at at yahia ola) en en en anque d' eclairage publique,neutral,neutral,0.7
- ضعف الإضافه - ليس الإضافه إلى الإكتئاب زائد المسار و تقييم الإضافه - عدم وجود ميزانيه تشاركيه زائده,negative,negative,0.9
غياب الشبابيك الخدماتية الرقمية,negative,negative,0.85
الفشل في تفعيل الموقع + + الموقع هو رسمي لـ + مجموعة + + + + + + + المجموعة + + + + + عدد + + ميزانية + + ميزانية: ليس لنشر ميزانية + + ميزانية + + + + + + + + + - من الصعب فهم ميزانية + + + + ميزانية + + + +,negative,negative,0.7
"1- قلة الاهتمام و الاطلاع على ميزانية الجماعة
2- مشكل التواصل 
3- عدم فهم الميزانية (صعوبة فهم دلالات الفصول و الأبواب )",negative,negative,0.85
ضعف الانارة ومشكل وسائل التنقل,negative,negative,0.85
"- غياب بعض التجهيزات الاساسية في الاحياء ناقصة التجهيز 
- مناطق ذات الطابع القروي تعيق التطور في مجال التعمير
- تدهور بعض الاحياء من حيث البنية التحتية 
- ضعف الانارة العمومية (انارة تقليدية) 
- وجود شبكة الصرف الصحي قديمة تابعة ل(lydec)",negative,negative,0.9
غلاء الفاتورة الطاقية للجماعة وسوء الانارة لمصابح الصوديوم القديمة.,negative,negative,0.85
