code,name_fr,name_ar,region_code,region_name,menages,population,etrangers,marocains
04.001.,Agadir-Ida -Ou-Tanane,عمالة: أكادير  إدا وتنان,04.,Souss-Massa-Draa,143752,600599,3708,596891
04.273.,Inezgane- Ait Melloul,عمالة: إنزكان ايت ملول,04.,Souss-Massa-Draa,124340,541118,430,540688
07.351.,Marrakech,عمالة: مراكش,07.,Marrakech-Tensift-Al-Haouz,302137,1330468,6764,1323704
08.411.,Oujda-Angad,عمالة: وجدة - أنكاد,08.,Oriental,124508,551767,2487,549280
09.141.,Casablanca,عمالة: الدار البيضاء,09.,Grand Casablanca,819954,3359818,24337,3335481
09.371.,Mohammadia,عمالة: المحمدية,09.,Grand Casablanca,96351,404648,2594,402054
10.421.,Rabat,عمالة: الرباط,10.,Rabat-Salé-Zemmour-Zaer,151670,577827,12891,564936
10.441.,Salé,عمالة: سلا,10.,Rabat-Salé-Zemmour-Zaer,231340,982163,2347,979816
10.501.,Skhirate- Témara,عمالة: الصخيرات  - تمارة,10.,Rabat-Salé-Zemmour-Zaer,135200,574543,2776,571767
13.061.,Meknès,عمالة: مكناس,13.,Meknes-Tafilalet,192654,835695,1269,834426
14.231.,Fès,عمالة: فاس,14.,Fès-Boulemane,265036,1150131,3521,1146610
16.511.,Tanger-Assilah,عمالة: طنجة - أصيلا,16.,Tanger-Tetouan,266738,1065601,5299,1060302
16.573.,M'Diq-Fnideq,عمالة: المضيق - الفنيدق,16.,Tanger-Tetouan,51139,209897,579,209318
