code,name_fr,name_ar,region_code,region_name,menages,population,etrangers,marocains
01.066.,Aousserd,إقليم: أوسرد,01.,Oued Ed-Dahab-Lagouira,776,16190,180,16010
01.391.,Oued Ed-Dahab,إقليم: وادي الذهب,01.,Oued Ed-Dahab-Lagouira,28609,126765,708,126057
02.121.,Boujdour,إقليم: بوجدور,02.,Laayoune-Boujdour-Sakia El Hamra,10186,50566,72,50494
02.321.,Laâyoune,إقليم: العيون,02.,Laayoune-Boujdour-Sakia El Hamra,53561,238096,596,237500
02.537.,Tarfaya,إقليم: طرفاية,02.,Laayoune-Boujdour-Sakia El Hamra,3393,13082,75,13007
03.071.,Assa-Zag,إقليم: أسا - الزاك,03.,Guelmim Es Semara,5208,44124,4,44120
03.221.,Es-Semara,إقليم: السمارة,03.,Guelmim Es Semara,11614,66014,34,65980
03.261.,Guelmim,إقليم: كلميم,03.,Guelmim Es Semara,40214,187808,195,187613
03.521.,Tan-Tan,إقليم: طانطان,03.,Guelmim Es Semara,19472,86134,46,86088
03.551.,Tata,إقليم: طاطا,03.,Guelmim Es Semara,22359,117841,32,117809
04.163.,Chtouka- Ait Baha,إقليم: شتوكة آيت باها,04.,Souss-Massa-Draa,88732,371102,211,370891
04.401.,Ouarzazate,إقليم: ورزازات,04.,Souss-Massa-Draa,54959,297502,281,297221
04.473.,Sidi Ifni,إقليم: سيدي افني,04.,Souss-Massa-Draa,25308,115691,102,115589
04.541.,Taroudannt,إقليم: تارودانت,04.,Souss-Massa-Draa,171186,838820,335,838485
04.577.,Tinghir,إقليم: تنغير,04.,Souss-Massa-Draa,49990,322412,111,322301
04.581.,Tiznit,إقليم: تيزنيت,04.,Souss-Massa-Draa,51142,207367,198,207169
04.587.,Zagora,إقليم: زاكورة,04.,Souss-Massa-Draa,38067,307306,122,307184
05.281.,Kénitra,إقليم: القنيطرة,05.,Gharb-Chrarda-Beni-Hssen,214640,1061435,1815,1059620
05.481.,Sidi Kacem,إقليم: سيدي قاسم,05.,Gharb-Chrarda-Beni-Hssen,99191,522270,95,522175
05.491.,Sidi Slimane,إقليم: سيدي سليمان,05.,Gharb-Chrarda-Beni-Hssen,60922,320407,92,320315
06.111.,Benslimane,إقليم: بنسليمان,06.,Chaouia-Ouardigha,49108,233123,478,232645
06.117.,Berrechid,إقليم: برشيد,06.,Chaouia-Ouardigha,103803,484518,499,484019
06.311.,Khouribga,إقليم: خريبكة,06.,Chaouia-Ouardigha,116126,542125,417,541708
06.461.,Settat,إقليم: سطات,06.,Chaouia-Ouardigha,119283,634184,609,633575
07.041.,Al  Haouz,إقليم: الحوز,07.,Marrakech-Tensift-Al-Haouz,111627,573128,362,572766
07.161.,Chichaoua,إقليم: شيشاوة,07.,Marrakech-Tensift-Al-Haouz,73928,369955,66,369889
07.191.,El Kelâa des  Sraghna,إقليم: قلعة  السراغنة,07.,Marrakech-Tensift-Al-Haouz,97874,537488,115,537373
07.211.,Essaouira,إقليم: الصويرة,07.,Marrakech-Tensift-Al-Haouz,95520,450527,795,449732
07.427.,Rehamna,إقليم: الرحامنة,07.,Marrakech-Tensift-Al-Haouz,57514,315077,65,315012
08.113.,Berkane,إقليم: بركان,08.,Oriental,66372,289137,607,288530
